a-bomb,bom nguyên tử
surprisedly,ngạc nhiên
surra,(thú y học) bệnh xura
surrealism,(nghệ thuật) chủ nghĩa siêu hiện thực
surrealist,siêu hiện thực
surrebut,(pháp lý) đập lại (lời buộc của đối phương)
surrebutter,(pháp lý) lời đập lại (lời buộc của đối phương)
surrejoin,(pháp lý) đập lại (lời buộc của đối phương)
surrejoinder,(pháp lý) lời đập lại (lời buộc của đối phương)
surrogate,(tôn giáo) người đại diện giám mục
surrogateship,chức đại diện giám mục
surround,tấm quanh thảm (phủ khoảng sàn nhà giữa thảm và tường)
surtax,thuế phụ
survey,sự nhìn chung; cái nhìn tổng quát
surveyorship,chức thanh tra
survival,sự sống sót
survivor,người sống sót
survivorship,tình trạng là người sống sót
susi,vải sọc (ân độ)
suspend,treo lơ lửng | đình bản một tờ báo | hoãn xét xử
suspender,cái móc treo
suspensibility,sự có thể treo được
suspensible,có thể treo được
suspensory,treo | băng treo
suspiration,(thơ ca) sự thở dài
suspire,(thơ ca) thở dài
sustainable,có thể chống đỡ được
sutler,(quân sự) người bán hàng căng tin
sutra,kinh (đạo phật)
suttee,người đàn bà tự thiêu chết theo chồng (ân độ)
sutteeism,tục tự thiêu chết theo chồng
sutured,đã khâu (vết thương)
swadeshi,phong trào bài trừ hàng ngoại (ân độ)
swag-bellied,phệ bụng
swaggerer,người đi nghênh nang; người vênh váo
swaggeringly,nghênh ngang; vênh váo
swain,anh thanh niên nông thôn cục mịch
swallet,(tiếng địa phương) suối ngầm
swallow-tail,đuôi chẻ đôi (như đuôi chim nhạn)
swallow-wort,(thực vật học) cây thổ hoàng liên
swami,tượng thờ (ân độ)
swan,(động vật học) con thiên nga
swans-down,lông tơ thiên nga
swan-flower,(thực vật học) hoa lan thiên nga
swan-goose,(động vật học) ngỗng cao cổ (trung quốc)
swan-mark,dấu mỏ (dấu ở mỏ thiên nga để chỉ quyền sở hữu)
swan-shot,đạn chì cỡ lớn
swan-skin,hàng flanen mịn
swan-upping,việc đánh dấu hằng năm chim thiên nga trên sông têm
swannery,chỗ nuôi thiên nga
swaraj,cuộc vận động tự trị (ân độ)
swarajist,người tán thành chế độ tự trị (ân độ)
sward,bãi cỏ
swarded,có nhiều cụm cỏ
swarthiness,màu ngăm đen (da)
swarthy,ngăm đen (da)
swash,sóng vỗ; tiếng sóng vỗ ì oàm
swashbuckler,kẻ hung hăng; du côn đánh thuê; ác ôn
swasher,kẻ hung hăng; du côn đánh thuê; ác ôn
swashing,vỗ ì oàm | cú quật mạnh
swat,cú đập mạnh
swatch,(ê-cốt) mẫu vải
swatter,người đạp (ruồi...)
sway-backed,võng lưng quá (ngựa)
swearer,người hay thề
sweat-cloth,vải đệm yên (ngựa)
sweat-duct,(giải phẫu) ống dẫn mồ hôi
sweat-shop,xí nghiệp bóc lột công nhân tàn tệ
sweater,người ra nhiều mồ hôi
sweater-gland,(giải phẫu) tuyến mồ hôi
sweating-bath,sự xông (cho ra mồ hôi)
sweating-iron,que gạt mồ hôi cho ngựa
sweating-room,buồng tắm hơi nước (theo lối thổ nhĩ kỳ)
sweatless,không có mồ hôi
swede,(thực vật học) của cải thuỵ điển
swedish,(thuộc) thuỵ điển
sweep-net,lưới vét (lưới đánh cá)
sweepback,(hàng không) góc cụp cánh (máy bay)
sweeper,người quét; máy quét
sweeping,sự quét | nhận xét chung chung
sweepstake,lối đánh (cá ngựa) được vơ cả (người được vơ hết tiền)
sweepstakes,lối đánh (cá ngựa) được vơ cả (người được vơ hết tiền)
sweet-root,cam thảo
sweet-sop,(thực vật học) cây na
sweet-tempered,dịu dàng; dễ thương (tính tình)
sweet-william,cây cẩm chướng râu
sweetbread,lá lách (bê) (dùng làm món ăn) ((cũng) belly sweetbread)
sweetener,chất pha cho ngọt
sweetening,sự làm cho ngọt; chất pha cho ngọt
sweeting,(thực vật học) táo đường (một loại táo ngọt)
sweety,(thông tục) kẹo mứt ((cũng) sweetie)
swell-fish,(động vật học) cá nóc
swelling,sự phồng ra (lốp xe...); sự căng (buồm...)
swift-coming,đi nhanh; đến nhanh
swift-handed,nhanh tay
swift-winged,nhẹ cánh
swimmer,người bơi; con vật bơi
swimming,sự bơi | mắt đẫm lệ
swimming-belt,phao bơi
swimming-bladder,bong bóng (cá)
swimming-match,cuộc bơi thi
swindler,kẻ lừa đảo
swine,con lợn
swines-snout,(thực vật học) cây bồ công anh trung quốc
swineherd,người chăn lợn
swinery,chuồng lợn
swing-boat,thuyền đu
swingle,dùi đập lanh (để lấy sợi)
swinish,như lợn; tham ăn tục uống; bẩn tưởi
swinishness,tính tham ăn tục uống; tính bẩn tưởi
swiper,kẻ ăn cắp; kẻ cướp giật
swipes,rượu bia đục; rượu bia loại xấu
swirly,có nhiều chỗ nước xoáy
swiss,(thuộc) thụy sĩ
switch-bar,(ngành đường sắt) cột ghi (xe lửa)
switch-lever,(ngành đường sắt) tay bẻ ghi
switch-over,sự chuyển sang (một cái gì...)
switch-plug,(điện học) cái phít
switchback,đường xe lửa hình chữ chi (ở những chỗ dốc)
switchboard,tổng đài
swivel,(kỹ thuật) khớp khuyên
swivel-eyed,lác mắt
swizzle-stick,que quấy rượu cốc tay
sword-arm,tay phải
sword-bayonet,kiếm ngắn
sword-belt,đai đeo gươm
sword-bill,(động vật học) chim mỏ kiếm
sword-dance,điệu múa kiếm
sword-fish,(động vật học) cá mũi kiếm
sword-guard,cái chặn ở đốc kiếm
sword-hand,bàn tay phải
sword-knot,vòng dây kiếm (để đeo và cổ tay)
sword-law,quân quyền
sword-lily,(thực vật học) cây hoa lay ơn
sword-play,thuật đánh kiếm
sword-proof,gươm đâm không thủng
swordless,không mang kiếm
swordsman,nhà kiếm thuật
sybarite,xa hoa uỷ mị
sybaritic,thích xa hoa hưởng lạc và uỷ mị
sybaritism,thói xa hoa uỷ mị; tính xa hoa uỷ mị
sycamine,(thực vật học) cây dâu tằm
sycamore,(thực vật học) cây sung dâu
syce,(anh-ân) người giữ ngựa
sycee,bạc nén ((cũng) sycee silver)
sychnocarpous,(thực vật học) ra quả nhiều lần; lưu niên
syconium,(thực vật học) loại quả sung
syllabary,sách học vần
syllabi,đề cương bài giảng; đề cương khoá học
syllabic,(thuộc) âm tiết; đọc thành âm tiết
syllabicate,chia thành âm tiết
syllabication,sự chia thành âm tiết
syllabification,sự chia thành âm tiết
syllabify,chia thành âm tiết
syllabize,chia thành âm tiết
syllabub,món thạch sữa (thạch có sữa hay kem trộn với rượu)
syllabus,đề cương bài giảng; đề cương khoá học
syllogise,dùng luận ba đoạn
syllogism,luận ba đoạn
syllogistic,(thuộc) luận ba đoạn
syllogistical,(thuộc) luận ba đoạn
syllogize,dùng luận ba đoạn
sylph,thiên thần
sylphlike,như thiên thần
sylvan,(thuộc) rừng; có rừng
sylviculture,lâm học; lâm nghiệp
symbiosis,(sinh vật học) sự cộng sinh
symbiotic,(sinh vật học) cộng sinh
symbolatry,sự thờ vật tượng trưng
symbolic,tượng trưng
symbolical,tượng trưng
symbolise,tượng trưng hoá
symbolism,chủ nghĩa tượng trưng
symbolist,người theo trường phái tượng trưng
symbolization,sự tượng trưng hoá
symbolize,tượng trưng hoá
symbology,nghệ thuật diễn đạt bằng tượng trưng
symbololatry,sự thờ vật tượng trưng
symbolology,nghệ thuật diễn đạt bằng tượng trưng
symmetric,đối xứng
symmetrical,đối xứng
symmetrise,làm đối xứng
symmetrization,sự làm đối xứng
symmetrize,làm đối xứng
symmetrophobia,sự ghét cân đối (trong nghệ thuật)
symmetry,sự đối xứng; tính đối xứng
sympatalous,(thực vật học) cánh hợp (hoa)
sympathizer,người có cảm tình
symphonic,giao hưởng | nhạc giao hưởng
symphony,bản nhạc giao hưởng
symphysis,(y học) sự dính màng
symposia,hội nghị chuyên đề
symposial,(thuộc) hội nghị thảo luận khoa học
symposiarch,người chủ tiệc rượu
symposium,hội nghị chuyên đề
symptom,triệu chứng
symptomatology,(y học) triệu chứng học
synaeresis,(ngôn ngữ học) hiện tượng hoà hợp nguyên âm
synagogical,(thuộc) hội đạo do thái
synagogue,hội đạo do thái
synallagmatic,ràng buộc đôi bên (hiệp ước)
synapse,(giải phẫu) khớp thần kinh ((cũng) synapsis)
synapses,(sinh vật học) kỳ tiếp hợp (trong phân chia tế bào)
synapsis,(sinh vật học) kỳ tiếp hợp (trong phân chia tế bào)
synarthrosis,(giải phẫu) khớp bất động
syncarp,(thực vật học) quả tụ
syncarpous,(thực vật học) (thuộc) quả tụ
synchrocyclotron,(vật lý) xincrôxinclôtron
synchromesh,(kỹ thuật) bộ đồng bộ
synchronic,(ngôn ngữ học) đồng đại
synchronise,xảy ra đồng thời
synchronism,tính chất đồng thời; tính đồng bộ
synchronization,sự đồng bộ hoá
synchronize,xảy ra đồng thời
synchronizer,máy làm đồng bộ
synchronoscope,cái nghiệm đồng bộ
synchronous,đồng thời; đồng bộ ((cũng) synchronic)
synchroscope,cái nghiệm đồng bộ
synchrotron,(vật lý) xincrôtron
syncopate,rút bỏ âm giữa (của từ)
syncopation,sự rút bỏ âm giữa (của từ)
syncope,(ngôn ngữ học) hiện tượng rụng âm giữa (của từ)
syncopic,(y học) ngất
syncoptic,(y học) ngất
syncretic,(thuộc) thuyết hổ lốn
syncretism,(triết học) thuyết hổ lốn
syncretist,người theo thuyết hổ lốn
syndactyl,(động vật học) có ngón dính nhau
syndactylism,tình trạng dính ngón
syndactylous,(động vật học) có ngón dính nhau
syndesmosis,(giải phẫu) sự khớp bằng dây chằng
syndesmotic,khớp bằng dây chằng
syndetic,(ngôn ngữ học) (thuộc) liên từ; dùng liên từ
syndicalism,phong trào công đoàn
syndicalist,người tham gia phong trào công đoàn
syndrome,(y học) hội chứng
synecdoche,(ngôn ngữ học); (văn học) phép cải dung
syneresis,(ngôn ngữ học) hiện tượng hoà hợp nguyên âm
syngenesis,(sinh vật học) sự sinh sản hữu tính
synod,hội nghị tôn giáo
synodal,(thuộc) hội nghị tôn giáo
synodic,(thuộc) hội nghị tôn giáo
synodical,(thuộc) hội nghị tôn giáo
synonym,từ đồng nghĩa
synonymise,tạo từ đồng nghĩa cho (một từ)
synonymity,tính đồng nghĩa
synonymize,tạo từ đồng nghĩa cho (một từ)
synonymous,đồng nghĩa (với)
synonymy,tính đồng nghĩa
synovia,(giải phẫu) hoạt dịch
synovial,(giải phẫu) (thuộc) hoạt dịch
synovitis,(y học) viêm màng hoạt dịch
syntactic,(ngôn ngữ học) (thuộc) cú pháp
syntax,(ngôn ngữ học) cú pháp
syntheses,sự tổng hợp
synthesis,sự tổng hợp
synthesise,tổng hợp
synthesist,nhà tổng hợp hoá học
synthesize,tổng hợp
synthetise,tổng hợp
synthetist,nhà tổng hợp hoá học
synthetize,tổng hợp
syphilis,(y học) bệnh giang mai
syphilitic,(y học) (thuộc) bệnh giang mai; có nguồn gốc giang mai
syphilize,truyền bệnh giang mai
syphiloid,dạng giang mai
syphilology,(y học) khoa nghiên cứu bệnh giang mai
syphilous,(y học) (thuộc) bệnh giang mai; có nguồn gốc giang mai
syren,(số nhiều) tiên chim (thần thoại hy lạp)
syriac,tiếng xy-ri cổ
syrian,(thuộc) xy-ri
syringa,(thực vật học) cây hoa đình ((cũng) seringa)
syringe,ống tiêm
syringeal,(động vật học) (thuộc) minh quản
syringes,(âm nhạc) cái khèn
syringotomy,thủ thuật mở đường rò
syrinx,(âm nhạc) cái khèn
systaltic,co bóp
systematics,phân loại học
systematism,sự hệ thống hoá; quá trình hệ thóng hoá
systematist,người làm việc theo phương pháp khoa học
systematization,sự hệ thống hoá
systematizer,người hệ thống hoá
systemic,(sinh vật học) (thuộc) cơ thể nói chung
systemization,sự hệ thống hoá
systemless,không có hệ thống
systole,(sinh vật học) tâm thu
systolic,(sinh vật học) (thuộc) tâm thu
systyle,(kiến trúc) có hàng cột gần nhau
systylous,(thực vật học) hợp vòi (hoa)
syzygy,(thiên văn học) ngày sóc vọng
ta,khuẫn (thông tục) cám ơn!
ta-ta,buây gioác
tabard,(sử học) áo choàng
tabaret,hàng xa tanh sọc
tabefaction,sự suy mòn vì ốm
tabes,(y học) bệnh tabet
tabetic,(thuộc) bệnh tabet; do bệnh tabet
table-cloth,khăn trải bàn
table-cover,khăn trải bàn
table-diamond,hột xoàn cắt bằng mặt
table-fork,cái nĩa
table-knife,dao ăn
table-linen,khăn bàn khăn ắn (nói chung)
table-spoon,thìa xúp
table-spoonful,thìa xúp (đầy)
table-tomb,mộ xây có mặt bằng
table-ware,đĩa bát dao dĩa (để bày bàn ăn)
table-water,nước suối (để uống khi ăn cơm)
tableau,hoạt cảnh
tableaux,hoạt cảnh
tableful,bàn (đầy) (thức ăn...)
tableland,vùng cao nguyên
tablet-talk,câu chuyện trong bữa ăn
tabor,(sử học) trống con
taboret,ghế đẩu
tabouret,ghế đẩu
tachistoscope,máy thử trí nhớ (để luyện đọc bằng mắt cho nhanh)
tachometer,(kỹ thuật) máy đo tốc độ gốc
tachometry,phép đo tốc độ góc
tachymetry,phép đo khoảng cách
taciturnity,tính ít nói
tacky,dính; chưa khô (lớp tơn...)
tactician,nhà chiến thuật
tactics,(quân sự) chiến thuật
tactile,(thuộc) xúc giác
tadpole,(động vật học) nòng nọc
taeniafuge,thuốc sán
tafferel,lan can sau khoang lái (tàu thuỷ)
taffeta,vải mỏng
taffrail,lan can sau khoang lái (tàu thuỷ)
taffy,kẹo bơ cứng | nó không biết hát tí nào
tagetes,(thực vật học) cúc vạn thọ
tagger,người đuổi bắt (trong trò chơi đuổi bắt)
taiga,(rừng) taiga
tail-base,đầu xương cụt (người)
tail-board,ván chặn hậu (xe bò...)
tail-coat,áo đuôi tôm
tail-gate,cửa dưới (của cống)
tail-skid,(hàng không) cái chống hậu (máy bay)
tail-spin,(hàng không) sự quay vòng hạ cánh
tail-wind,(hàng không) gió xuôi
tailless,không đuôi
tailor-made,may đo; may khéo
tailoress,chị thợ may
tailoring,nghề may
tailpiece,hình vẽ cuối chương sách
taintless,không có vết nhơ
take-off,sự nhại
taker-off,(thông tục) người nhại
talari,đồng talari (tiền ê-ti-ô-pi)
talbot,chó săn tanbô
talc,(khoáng chất) đá tan
talcose,có chứa chất tan
talcum,(khoáng chất) đá tan
talent-scout,(điện ảnh) người phát hiện ra diễn viên ưu tú
talented,có tài | một người chơi pianô có tài
tales,(pháp lý) danh sách hội thẩm dự khuyết
talesman,(pháp lý) hội thẩm dự khuyết
taliped,có tật bàn chân vẹo
talipes,(y học) tật bàn chân vẹo
talkie,(từ lóng) phim nói
talking-picture,phim nói
tallboy,tủ com mốt cao
tallow-chandler,người buôn nến
tallowy,có chất mỡ
tally-ho,hú
tally-shop,cửa hàng bán chịu trả dần
tam-o-shanter,mũ bêrê ê-cốt
tamarack,(thực vật học) cây thông rụng lá
tamarind,(thực vật học) cây me
tamarisk,(thực vật học) cây liễu bách
tambourine,(âm nhạc) trống prôvăng
tameless,không thuần hoá được; không bảo được
tameness,tính thuần; tính dễ bảo
tamer,người dạy thú
tammy,vải mặt rây
tampion,nút miệng súng
tampon,độn tóc giả
tamtam,cái trống cơm
tana,(anh-ân) đồn lính
tangency,(toán học) tính tiếp tuyến
tangerine,quả quít ((cũng) tangerine orange)
tangibility,tính có thể sờ mó được
tanker,tàu chở dầu
tankman,chiến sĩ lái xe tăng
tanna,(anh-ân) đồn lính
tanner,thợ thuộc da
tannic,(hoá học) tanic | axit tanic
tannin,(hoá học) tanin
tanning,sự thuộc da
tansy,(thực vật học) cây cúc ngài
tantalizer,người nhử trêu ngươi
tantalizing,nhử trêu ngươi
tantalum,(hoá học) tantali
tantivy,nước đại (ngựa)
taoism,đạo lão
taoist,người theo đạo lão
tap-borer,cái khoan lỗ thùng
tap-dancing,điệu nhảy clacket
tap-root,(thực vật học) rễ cái
tape-recording,sự ghi trên máy ghi âm
tapestry,tấm thảm
tapestry-making,thuật làm thảm
tapestry-weaver,thợ dệt thảm
taphouse,tiệm rượu
tapir,(động vật học) heo vòi
tapis,tấm thảm
tapper,manip điện báo
taproom,tiệm rượu
tapster,nhân viên phục vụ ở cửa hàng giải khát
tar-brush,chổi quét hắc ín
tar-sealed,(tân tây lan) rải đá giăm trộn hắc ín
tarantella,điệu nhảy taranten
tarantelle,điệu nhảy taranten
taratantara,tiếng trống tùng tùng; tiếng tù và
taraxacum,(thực vật học) cây bồ công anh trung quốc
tarboosh,mũ khăn (của người a-rập)
tardo,(âm nhạc) chậm
tare,(thực vật học) đậu tằm
tarmac,(viết tắt) của tar_macadam
tarn,hồ nhỏ ở núi
taro,(thực vật học) cây khoai sọ; cây khoai nước
taroc,lá bài | cỗ bài 78 lá
tarot,lá bài | cỗ bài 78 lá
tarpon,(động vật học) cá cháo
tarragon,(thực vật học) cây ngải giấm
tarrock,(động vật học) mỏng biển con
tartan,vải len kẻ ô vuông (của người ê-cốt)
tartarian,(thuộc) tác-ta
tartaric,(hoá học) tactric
tartish,hơi chua; hơi chát
tartlet,bánh nhân hoa quả nhỏ
taskwork,việc làm khoán
tasselled,có núm tua
tastable,có thể nếm được
tasty,ngon
tat,tit you tat ăn miếng trả miếng
tatou,(động vật học) con tatu
tatterdemalion,người ăn mặc rách rưới
tattooer,người xăm mình
taurine,(thuộc) bò đực
tauromachy,cuộc đấu bò
taurus,(thiên văn học) chòm sao kim ngưu
tautly,căng thẳng
tautness,tính căng
tautologic,(ngôn ngữ học) lặp thừa
tautological,(ngôn ngữ học) lặp thừa
tautologise,(ngôn ngữ học) lặp thừa
tautologist,người hay dùng phép lặp thừa
tautologize,(ngôn ngữ học) lặp thừa
tautology,(ngôn ngữ học) phép lặp thừa
tautomerism,(hoá học) hiện tượng tautome
tavern,quán rượu
taverner,chủ quán rượu
tawer,người thuộc da trắng
tawery,nghề thuộc da trắng
tawniness,màu hung hung
tawny,hung hung
tax-dodger,người trốn thuế
tax-farmer,người thầu thuế
tax-free,miễn thuế
taxability,tính chất có thể đánh thuế được
taxi,xe tắc xi
taxi-cab,xe tắc xi
taxi-rank,bến xe tắc xi
taxidermal,(thuộc) khoa nhồi xác động vật
taxidermic,(thuộc) khoa nhồi xác động vật
taxidermist,người nhồi xác động vật
taxidermy,khoa nhồi xác động vật
taximeter,đồng hồ chỉ tiền thuê tắc xi
taxiplane,máy bay tắc xi (cho thêu như kiểu xe tắc xi)
taxology,khoa phân loại học
taxonomic,(thuộc) phân loại
taxonomical,(thuộc) phân loại
taxonomist,nhà phân loại
taxonomy,phép phân loại
taxpayer,người đóng thuế
tea-caddy,hộp đựng trà
tea-cake,bánh ngọt uống trà
tea-dance,bữa trà có khiêu vũ
tea-drinker,người nghiện trà
tea-fight,(thông tục) (như) tea-party
tea-garden,vườn có bán trà (cho khách uống)
tea-gown,áo dài kiểu rộng (của đàn bà)
tea-kettle,ấm nấu nước pha trà
tea-leaf,lá chè
tea-party,tiệc trà ((thông tục) tea-fight)
tea-spoon,thìa uống trà
tea-table,bàn trà
tea-things,(như) tea-set
tea-tray,khay trà
tea-urn,thùng hãm trà (ở các quán bán trà)
tea-wagon,xe dọn trà (ở các quán trà)
teach-in,cuộc hội thảo
teak,(thực vật học) cây tếch
teal,(động vật học) mòng két
team-mate,bạn đồng đội
teamster,người đánh xe
teapot,ấm pha trà
teapoy,bàn nhỏ để uống trà
tear-drop,giọt nước mắt
tear-gas,hơi làm chảy nước mắt
tear-jerker,truyện đa sầu; bài hát đa sầu; phim đa sầu
teasel,(thực vật học) cây tục đoạn
teazel,(thực vật học) cây tục đoạn
teazle,(thực vật học) cây tục đoạn
tec,(từ lóng) (viết tắt) của detective
techiness,tính hay bực mình; tính dễ bực mình
technicolor,phim màu
technique,kỹ xảo | kỹ thuật dệt
technologist,kỹ sư công nghệ
technology,kỹ thuật; kỹ thuật học
techy,hay bực mình; dễ bực mình
tectology,(sinh vật học) môn hình thái cấu trúc
tectonic,xây dựng
tectrices,lông mình (chim)
tedder,người giũ cỏ (để phơi khô); máy giũ cỏ (để phơi khô)
tee,chữ t
teen-age,ở tuổi từ 13 đến 19
teepee,lều vải (của người da đỏ)
teethe,mọc răng
teething,sự mọc răng
teetotaler,người kiêng rượu hoàn toàn
teetotaller,người kiêng rượu hoàn toàn
teg,con cừu hai tuổi
tegular,(thuộc) ngói lợp nhà; như ngói lợp nhà
tegulated,xếp lợp (như ngói lợp nhà)
tegument,vỏ
tegumental,(thuộc) vỏ; dùng làm vỏ
tegumentary,(thuộc) vỏ; dùng làm vỏ
tehee,tiếng cười gượng; tiếng cười khinh bỉ
teknonymy,tục gọi bố mẹ bằng tên con
telautogram,điện tín (truyền) chữ viết
telautograph,máy truyền điện (bằng) chữ viết
telecamera,máy chụp ảnh xa
telecast,sự phát chương trình truyền hình
telecontrol,sự điều khiển từ xa
telegraph,máy điện báo
telegrapher,nhân viên điện báo
telegraphese,văn điện báo
telegraphically,bằng điện báo
telegraphist,nhân viên điện báo
teleguided,điều khiển từ xa
telemechanics,cơ học từ xa
telemeter,kính đo xa
teleological,(thuộc) thuyết mục đích
teleologist,người theo thuyết mục đích
teleology,(triết học) thuyết mục đích
telepathic,cảm từ xa
telepathically,cảm từ xa
telepathize,cảm từ xa
telepathy,sự cảm từ xa
telephone-receiver,ống nghe (ở điện thoại)
telephonic,(thuộc) điện thoại
telephonically,bằng điện thoại
telephonist,nhân viên điện thoại
telephony,điện thoại
telephoto,ảnh chụp xa
telephotograph,ảnh chụp xa
telephotographic,(thuộc) kỹ thuật chụp ảnh từ xa
telephotography,kỹ thuật chụp ảnh từ xa
teleprinter,máy điện báo ghi chữ
telescriptor,máy điện báo ghi chữ
telestereoscope,kính nhìn nổi cảnh xa
teleview,xem truyền hình
televiewer,người xem truyền hình
televise,truyền hình | cuộc mít tinh sẽ được truyền hình
televisor,máy truyền hình
telluric,(thuộc) đất | dòng điện đất|- (hoá học) teluric
tellurium,(hoá học) telua
telly,(thông tục) máy truyền hình
telotype,máy điện báo ghi chữ
telpher,xe chạy cáp treo
telpherage,sự vận tải bằng cáp treo
tempera,(hội họa) màu keo
tempest-beaten,bị bão vùi dập tàn phá
tempest-tossed,bị bão làm tròng trành (tàu thuyền)
tempi,(âm nhạc) độ nhanh | với nhịp độ nhanh
templar,học sinh luật; nhà luật học
temporality,(pháp lý) tính chất tạm thời
temptation,sự xúi giục | chống lại sự cám dỗ
tempter,người xúi giục
tempting,xúi giục
tenantless,không có người thuê
tenantry,những tá điền; những người thuê nhà đất
tench,(động vật học) cá tinca (họ cá chép)
tender-eyed,có con mắt dịu hiền
tenderer,người bỏ thầu
tenderloin,thịt thăn
tenderness,tính chất mềm (của thịt...)
tendinous,(thuộc) gân
tendon,(giải phẫu) gân
tendril,(thực vật học) tua (của cây leo) | một sợi tóc xoắn
tenet,giáo lý; chủ nghĩa
tenner,(thông tục) giấy mười bảng (anh); giấy mười đô la (mỹ)
tennis-ball,bóng quần vợt
tennis-court,sân quần vợt
tenon,mộng (đồ mộc...)
tenotomy,(y học) thuật cắt gân | dao cắt gân
tenpins,trò chơi ky mười con
tenseness,tình trạng căng
tensibility,tính căng dãn
tensible,có thể căng dãn ra
tensility,tính căng dãn
tensimeter,(vật lý) cái đo áp hơi
tensiometer,(kỹ thuật) cái đo độ căng
tensional,căng | lực căng
tensity,tình trạng căng
tensor,(giải phẫu) cơ căng
tent-cloth,vải lều
tent-peg,cọc lều
tent-rope,dây lều
tentacled,(động vật học) có tua cảm
tentacular,(động vật học) (thuộc) tua cảm
tenter,người coi máy
tenterhooks,(nghành dệt) móc căng (vải)
tenthly,mười là
tepee,lều vải (của người da đỏ)
tepefy,trở nên ấm
teratology,quái thai học
terbium,(hoá học) tecbi
terce,thế kiếm thứ ba (mũi kiếm ngang con mắt)
tercel,chim ưng đực
tercet,đoạn thơ ba câu
terebinthine,(thuộc) dầu thông; như dầu thông
terebrate,khoan lỗ trôn ốc
terebration,sự khoan lỗ trôn ốc
teredo,(động vật học) con hà
tergal,(động vật học) (thuộc) lưng; ở lưng
termini,ga cuối cùng; bến cuối cùng
terminological,(thuộc) thuật ngữ
terminology,thuật ngữ học
terminus,ga cuối cùng; bến cuối cùng
termitary,tổ mối
termite,(động vật học) con mối
tern,(động vật học) nhạn biển ((như) tarn)
ternate,(thực vật học) chụm ba (lá) ((cũng) tern)
terpsichorean,(thuộc) nữ thần ca múa; (thuộc) ca múa
terraneous,(thực vật học) mọc ở cạn
terrapin,rùa nước ngọt (ở bắc mỹ)
terraqueous,gồm đất và nước (doi đất...)
terrene,có tính chất đất
terrier,chó sục (loại chó săn chuyên sục hang bụi)
terrine,liễn sành; chậu đất trồng cây
territorially,theo khu vực
terrorism,chính sách khủng bố
terse,ngắn gọn; súc tích (văn)
terseness,tính chất ngắn gọn; tính chất súc tích (văn)
tertiary,thứ ba
tessellate,khảm; lát đá hao nhiều màu
tessellated,khảm; lát đá hoa nhiều màu
tessellation,sự khảm; sự lát đá hoa nhiều màu
tessitura,(âm nhạc) cữ âm
test-paper,(hoá học) giấy thử
test-tube,(hoá học) ống thử
testable,có thể thử được
testatrices,người đàn bà làm di chúc
testatrix,người đàn bà làm di chúc
testicle,(giải phẫu) hòn dái
testicular,(giải phẫu) (thuộc) hòn dái
testiculate,(sinh vật học) hình hòn dái
testudinate,khum khum như mai rùa
testudineous,như mai rùa
tetanic,(y học) (thuộc) bệnh uốn ván
tetanus,(y học) bệnh uốn ván
tetchiness,tính hay bực mình; tính dễ bực mình
tetchy,hay bực mình; dễ bực mình
tetrachord,(âm nhạc) chuỗi bốn âm
tetrad,bộ bốn
tetradactyl,(động vật học) có chân bốn ngón
tetradactylous,(động vật học) có chân bốn ngón
tetragram,từ bốn chữ
tetralogy,tác phẩm bộ bốn
tetramerous,(thực vật học) mẫu bốn (hoa)
tetrapetalous,(thực vật học) có bốn cánh (hoa)
tetrasyllabic,có bốn âm tiết
tetrasyllable,từ bốn âm tiết
tetratomic,có bốn nguyên tử
tetravalent,(hoá học) có hoá trị bốn
tetter,(y học) bệnh eczêma
text-hand,chữ viết to ((như) text)
textbook,sách giáo khoa ((như) text)
textural,(thuộc) sự dệt
thallium,(hoá học) tali
thallophytes,thực vật có tản
thallus,(thực vật học) tản (của thực vật bậc thấp)
thank-offering,sự tạ ơn
thankfulness,lòng biết ơn; sự cám ơn
thanksgiving,sự tạ ơn (chúa)
thankworthy,đáng được cảm ơn
thawing,sự tan (của tuyết)
theatre-goer,người hay đi xem hát
theatrics,nghệ thuật sân khấu
theism,(triết học) thuyết có thần
theist,(triết học) người theo thuyết có thần
theistic,(triết học) (thuộc) thuyết cổ thần
theistical,(triết học) (thuộc) thuyết cổ thần
thematic,(thuộc) chủ đề
thenar,lòng bàn tay; gan bàn chân
theocracy,(triết học) chính trị thần quyền
theocrat,kẻ cai trị bằng thần quyền
theocratic,(triết học) (thuộc) chính trị thần quyền
theocratical,(triết học) (thuộc) chính trị thần quyền
theodolite,máy kinh vĩ
theologian,nhà̀thần học; giáo sư thần học
theologic,(thuộc) thần học
theological,(thuộc) thần học
theologize,lập luận theo thần học
theology,thần học
theorbo,(âm nhạc) têooc (nhạc khí)
theorem,(toán học) định lý
theoretician,nhà lý luận
theorist,nhà lý luận
theorize,tạo ra lý thuyết về
theorizer,nhà lý luận
theosophic,(triết học) (thuộc) thuyết thần trí
theosophical,(triết học) (thuộc) thuyết thần trí
theosophist,(triết học) người theo thuyết thần trí
theosophy,(triết học) thuyết thần trí
therapeutic,(y học) (thuộc) phép chữa bệnh
therapeutical,(y học) (thuộc) phép chữa bệnh
therapeutics,(y học) phép chữa bệnh
therapeutist,thầy thuốc nội khoa
therapy,(y học) phép chữa bệnh
theratron,bom côban
thereunder,dưới đó
thermic,nhiệt | biến đổi nhiệt
thermit,(kỹ thuật) nhiệt nhôm
thermite,(kỹ thuật) nhiệt nhôm
